slice,id,transforms,perturbed_text
comparability,328fb8e7,modal,"The results of all pressure tests on buildings, including any test failures, ought to be reported to the building control body."
comparability,382038df,modal+cmp,no less than 30% of the ties must be located in the immediate vicinity of the grid lines of the columns and the walls.
comparability,38322c6e,modal,A new district heat network ought to be taken as meaning any other district heat network.
comparability,4e8c5c50,none,"If the planned time of use of a modular or portable building in a single location is less than two years, the only practical heating technology may be electric resistance heating."
comparability,526d7a82,modal,The structures of the wet rooms shall be rigid enough that the thermal and moisture movements do no damage the wet room waterproofing or surface structures.
comparability,5fe7997a,modal,"If the total flow rate cannot be achieved through all the terminals, then the fan speed ought to be increased."
comparability,6187cad8,modal,Continuously running fans ought to be set up to operate without occupant intervention but may have manual or automatic controls for selecting the high rate of operation.
comparability,6414854d,cmp,Special safety features are not necessary if the ladder is at most 6m long.
comparability,675c4d48,modal,Adequate space ought to be available for access to maintain ventilation equipment.
comparability,681c4394,modal,"The rate of heat release from the appliance ought to be adjustable, using an adjustable damper or other thermostatically controlled method."
comparability,6a41a473,modal+cmp,no less than one in every five remaining parking spaces shall be provided with cable routes.
comparability,78d904cd,modal,"Instead, the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate ought to be calculated as if the area covered by the pool were replaced with the equivalent area of floor with the same U-value as the pool surround."
comparability,7db23e3b,modal,"In a natural ventilation system, the ventilation valves must be easy to close."
comparability,7f49ccb1,modal+unit,The resilient layer ought to be to the full height of the door and 60 centimetres either side of the doorset.
comparability,80221d2c,cmp,at most two drainage wells may be connected to a floor drain and they may be located at a maximum distance of three meters from the floor drain.
comparability,82aa0792,modal,"NOTE: All boilers ought to be used in the calculation, including any that are identical."
comparability,8421f806,modal,"Where the gradient of the approach, whether over its whole length or in part, is 1:20 or steeper, that part of the approach ought to be designed as ramped access."
comparability,87c9c5f5,modal,The effective rated output ought to be assessed based on the final installed capacity of the heating or air-conditioning system.
comparability,8aa4b706,modal,All three parts of the compliance checklist ought to be completed.
comparability,8fec1c4a,modal,"Where membranes are penetrated, careful detailing ought to be used to achieve a robust and durable seal at these penetrations."
comparability,9a574829,modal,The whole building ventilation rate ought to be met.
comparability,9dd2a0f1,modal+unit,"If the cross-sectional area of a mechanical ventilation systems air duct is designed to be greater than 0.06 square metres, the outdoor air and exhaust air ducts must be fitted with shutoff dampers that close automatically when the system shuts down."
comparability,9ff8b8fd,modal,The dwelling fabric energy efficiency rate shall not exceed the individual dwellings target fabric energy efficiency rate.
comparability,a15ee053,none,"Whenever the building is moved to a new location, in which its intended time of use is less than two years, these calculations can be provided as evidence that the energy efficiency requirements are met."
comparability,a1f91cfd,cmp,"For a building that contains in excess of one dwelling for example a block of flats or a terrace of houses an average target primary energy rate, target emission rate and target fabric energy efficiency rate may be calculated as an alternative to individual target rates for each dwelling."
comparability,a4dc06ab,modal+cmp+conn,"The free height from the ground or from the surface of a driveway or walkway of the lower edge of a structural element, device or equipment protruding from the building, such as a balcony, bay window, sign, lighting device or awning, shall be no less than 2.2 metres, except where the area is protected so as to prevent the danger of collision."
comparability,a4fccc69,modal,Exits of parts of the building separated by a fire wall shall be constructed separately so that in the event of a fire there is no need to use any door that may be in the fire wall.
comparability,aaca648c,modal,The use of visually and acoustically reflective wall surfaces ought to be minimised within the lifting platform to prevent discomfort for people with visual and hearing impairment.
comparability,b5edf19f,modal,"If necessary, fire compartments must be partitioned in order to restrict the spread of fire and smoke, to provide safe evacuation and to facilitate rescue and extinguishing measures."
comparability,b8365796,modal+cmp,"The various enduse categories, such as heating, lighting and cooling, ought to be submetered in such a way that no less than 90 of the annual energy consumption of each fuel can be assigned to an enduse."
comparability,bb9ec292,modal,"The building primary energy rate and building emission rate calculated using the measured air permeability shall not be higher than the target primary energy rate and target emission rate, respectively."
comparability,bd1438b0,modal,"For roof-lights, U-values ought to be calculated based on a horizontal position."
comparability,c06bb553,modal,"When a building undergoes a major renovation, the technical, environmental and economic feasibility of installing high-efficiency alternative systems ought to be considered."
comparability,cc72106e,modal,"In a new building, the crawl space height shall be 0.8 metres on average at the minimum."
comparability,d3c5b819,modal,"A sewer installed in the ground must withstand the load imposed by soil, soil corrosion as well as subsidence of soil."
comparability,dae0db09,modal+conn,"A glass structure or other light-permeable structure, along with its mountings, shall withstand the load to which it is normally subject, except where the structure is protected by a fixed collision barrier."
comparability,df09194e,modal,"Generally, gradients within the approach ought to be as gentle as possible."
comparability,f009a781,modal,"The landings in the indoor and outdoor areas of a building shall be safe, sufficiently spacious and suitable for their purpose."
comparability,f41fb8da,modal,"Windows, glass walls and glass doors into which there is a danger of collision shall be marked in such a way that they can be easily noticed."
comparability,f51da5c6,modal,"The building fabric ought to be constructed so that thermal bridging, including at the party wall, is reasonably limited."
comparability,f7cfdf57,modal,"Ramps, steps, thresholds and differences in levels in passageways shall be clearly indicated using lighting and surface brightness contrasts or warning signs."
exception,cand01,modal,Cavity surfaces shall meet the flame-spread class requirements of Table 9.1. Table 9.1 does not apply to any of the following cavities: (a) a cavity in a wall that is fire resisting only because it is loadbearing; (b) a cavity in a wall that meets the conditions of Diagram 9.2; (c) a floor or roof cavity above a fire-resisting ceiling.
exception,cand02,modal+conn,"When replacing an existing on-site electricity generation system, the installed generation capacity of the new system ought to be no less than that of the existing system, unless a smaller system can be demonstrated to be more appropriate or effective."
exception,cand08,conn+unit,"Switches for permanently wired appliances are located between 40 centimetres and 120 centimetres above the floor, except where needed at a higher level for particular appliances."
exception,cand16,conn,"In buildings other than dwellings, provide doors that do not swing across landings, unless they comply with paragraph 1.21c."
exception,cand18,modal,"In residential buildings with a storey 11m or more in height, balconies ought to only contain materials achieving class A1 or A2-s1,d0, except for cavity trays used between two leaves of masonry and intumescent/firestopping materials necessary to meet Part B."
exception,cand20,modal+conn,New extensions to historic and traditional dwellings ought to comply with all ventilation standards in this approved document except where there is a need to match the external appearance or character of the extension to that of the host building.
exception,cand21,conn+unit,"Where an outward opening door is located close to a corner (another door on the return wall within 80 centimetres of that corner), the leading edge of the outward opening door is a minimum of 80 centimetres from the corner, except where a 150 centimetres turning circle is provided immediately outside the door."
exception,cand27,modal+conn,"Elements of structure shall have the fire resistance given in Appendix B, Table B3. A structure that supports only a roof is excluded from the definition of element of structure, except where the roof performs the function of a floor or the structure is essential for the stability of a fire-resisting external wall."
exception,cand31,modal+unit,Fire-resisting construction (minimum RE 30) ought to be provided for any part of the building within 180 centimetres of the escape route from the foot of an external escape stair. This does not apply if there are alternative escape routes from the foot of the external escape stair.
exception,cand32,cmp+conn+unit,"The handle to no less than one window in the principal living area is 70-100cm above floor level, except where the window is fitted with a remote opening device that is within this height range."
exception,cand37,modal+conn+unit,"Where compartment walls are located within the middle half of a floor between vertical supports, the deflection may be assumed to be 4 centimetres except where a smaller value can be justified by assessment; the wall design shall accommodate the assumed deflection."
exception,cand40,modal+conn,"On major renovation of a residential building, cable routes for electric vehicle charge points shall be installed in all associated parking spaces, unless the cost of that installation exceeds 7% of the total cost of the major renovation."
exception,cand43,modal+conn,"Any door opening towards a corridor which is a major access route or an escape route ought to be recessed so that, when fully open, it does not project into the corridor space, unless the doors are to minor utility facilities such as small store rooms and locked duct cupboards."
exception,cand52,modal+conn,"Generally, lifts ought to not be used when there is a fire in the building, except where their use forms part of a management plan for evacuating people and the lifts are appropriately sited and protected and contain safety features to ensure they remain usable during a fire."
exception,cand56,conn,"A fire doorset may be held open by a fusible link, but not if the doorset is in an opening provided as a means of escape, except where it complies with paragraph C7 (two fire doorsets in the same opening, each capable of closing it)."
exception,cand57,conn,"The stair does not connect to a covered car park, except where the car park is open-sided (as defined in Section 11 of Approved Document B Volume 2)."
exception,cand65,cmp+conn,"Any wheelchair user does not have to travel in excess of 40m on the same floor to reach a unisex toilet, except where a greater distance can be agreed with the building control body on the grounds that the circulation route is unobstructed."
exception,cand75,none,The maximum travel distance limit for flats on a storey does not apply if all flats on the storey have independent alternative means of escape.
exception,cand76,modal+conn,"Developers ought to provide a gigabit-capable public electronic communications network connection for each new dwelling erected, except where the cost exceeds the cost cap of 2000 GBP per dwelling or the network operator declines to provide a connection."
exception,cand77,modal,"In a building designed for phased evacuation, at each storey except a top storey, stairs ought to be approached through a protected lobby or protected corridor."
