example_id,doc,has_thresh,content
7dbe5dbf-39fb-4ba4-bc75-d6ac7898e615,UK_DocL_V1_ConsrvationOfFuelAndPower,False,"U-values for rooflights or rooflight-and-kerb assemblies should be based on the developed surface area of the rooflight (U-values), which is often greater than the area of the roof opening."
7f696221-52c9-4c52-8f90-74bd93c51299,UK_DocM_V1_AccessAndUseOfBuildings,True,This grippable handrail is 850-1000mm above the pitch line of the flight and extends at least 300mm beyond the top and bottom nosings.
85745724-aa09-4cdd-ad17-3c50ea2b99a1,UK_DocM_V1_AccessAndUseOfBuildings,False,"Where sanitary facilities are wheelchair accessible, basins and sinks should be wall hung (typically with their rim 770-850mm above finished floor level) and the clear zone beneath basins, services and pedestals is maximised to enable wheelchair users to approach."
86365504-9029-4805-a93b-4256849b8e3a,UK_DocF_V1_Ventilation,False,Duct connections should be both mechanically secured and adequately sealed to prevent leaks.
89811586-c819-4eb5-99f5-c4fcefdb9520,Finnish_SafetyOfUse,False,Fixed or linked seats must be arranged as rows of seating with an access route on the side of the rows.
bdfc74e0-24b2-41e2-be4e-6cab13de421f,UK_DocL_V1_ConsrvationOfFuelAndPower,False,The test data should be certified by a notified body.
d01a40a6-33be-44da-ba5f-243d05a449c6,Finnish_SafetyOfUse,False,The handrail must continue onto the intermediate landing without interruption.
d796dece-45f6-4527-a151-c59b007e9028,Finnish_SafetyOfUse,False,"A safe and marked access route must be reserved for pedestrians in connection with vehicle traffic and goods transport routes, doors and gates in the yards of buildings other than single-family houses, if pedestrian traffic through them is necessary."
da4d5959-6e64-4e04-a1f3-8b42b6addab0,Finnish_EnergyEfficiency,True,The outdoor air flow used in the calculations for buildings other than those in intended use categories 1 and 2 outside the occupancy period shall be at least 0.15 dm3/s per m2.
dcc583b1-8c4c-42cf-a1ed-e8907de56254,Finnish_SafetyOfUse,True,"The rise of the indoor steps of other spaces intended for everyday use may be no more than 180 millimetres, and the tread must be no less than 270 millimetres."
ec419055-6ed3-4dac-9879-748e2d365a26,UK_DocL_V1_ConsrvationOfFuelAndPower,False,"Internal building services: where services penetrate the air barrier, holes should be as small as possible and should be core drilled to limit damage."
ee0c8c7c-c65e-4403-92e6-628fd680f3bf,UK_DocQ_Security_Dwellings,True,Any panel within the doorset should be at least 15mm thick.
ef4f54b6-1099-4404-9fa2-d0c0d5e55543,UK_DocL_V1_ConsrvationOfFuelAndPower,True,The dwelling primary energy rate must not exceed the individual dwellings target primary energy rate.
f420ae57-5656-4558-b1a3-1079e46bf6cc,Finnish_FireSafety,True,"In the case of the storey-level door of a dwelling, or if the number of people evacuating through the door exceeds 60, doors must open in the direction of the exit."
f505cec8-d1a6-41ae-b2ba-68ac19f64be2,UK_DocM_V2_AccessAndUseOfBuildings,False,"If other performance (e.g. wind load, safety, security or acoustic attenuation) requires thicker glass to be used, an equivalent window unit with standard thickness glazing should be shown to meet the required standard."
fc129e2c-abfa-48be-9fd6-e85f077ae67b,UK_DocM_V2_AccessAndUseOfBuildings,False,"A space alongside the leading edge of a door should be provided to enable a wheelchair user to reach and grip the door handle, then open the door without releasing hold on the handle and without the footrest colliding with the return wall."
