example_id,doc,country,has_thresh,has_necessity,content
8421f806-70f2-46a9-a308-90a40da3541d,UK_DocM_V2_AccessAndUseOfBuildings,UK,True,True,"Where the gradient of the approach, whether over its whole length or in part, is 1:20 or steeper, that part of the approach should be designed as ramped access."
87c9c5f5-18dc-4107-b4af-b44dfb2b9627,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,The effective rated output should be assessed based on the final installed capacity of the heating or air-conditioning system.
8aa4b706-1659-4e30-a4fe-e7f33efe3241,UK_DocO_Overheating,UK,True,True,All three parts of the compliance checklist should be completed.
8fec1c4a-527e-49b6-9267-89ff700a9291,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,False,True,"Where membranes are penetrated, careful detailing should be used to achieve a robust and durable seal at these penetrations."
9a574829-3211-4b4f-8c0c-c7a7ab9cfd54,UK_DocF_V2_Ventilation,UK,False,True,The whole building ventilation rate should be met.
9dd2a0f1-0ff9-4416-8abd-1e6589980ff4,Finnish_Health-IndoorClimateAndVentilation,Finnish,True,True,"If the cross-sectional area of a mechanical ventilation systems air duct is designed to be greater than 0.06 m2, the outdoor air and exhaust air ducts shall be fitted with shutoff dampers that close automatically when the system shuts down."
9ff8b8fd-5361-4c3d-9a7e-7459276c8df7,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,True,False,The dwelling fabric energy efficiency rate must not exceed the individual dwellings target fabric energy efficiency rate.
a15ee053-da1e-44cd-bdd9-76cdcb68eaee,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,"Whenever the building is moved to a new location, in which its intended time of use is less than two years, these calculations can be provided as evidence that the energy efficiency requirements are met."
a1f91cfd-21f8-49a4-8468-746f49f4848e,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,True,True,"For a building that contains more than one dwelling for example a block of flats or a terrace of houses an average target primary energy rate, target emission rate and target fabric energy efficiency rate may be calculated as an alternative to individual target rates for each dwelling."
a4dc06ab-99c3-4c8b-b295-eb3e6a64320a,Finnish_SafetyOfUse,Finnish,True,False,"The free height from the ground or from the surface of a driveway or walkway of the lower edge of a structural element, device or equipment protruding from the building, such as a balcony, bay window, sign, lighting device or awning, must be at least 2.2 metres, unless the area is protected so as to prevent the danger of collision."
a4fccc69-c508-4405-92aa-2cfe36bfca39,Finnish_FireSafety,Finnish,False,True,Exits of parts of the building separated by a fire wall must be constructed separately so that in the event of a fire there is no need to use any door that may be in the fire wall.
aaca648c-5f60-4300-a30f-887da252ebd0,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,The use of visually and acoustically reflective wall surfaces should be minimised within the lifting platform to prevent discomfort for people with visual and hearing impairment.
b5edf19f-56df-436a-89f0-9ab5bf6963ea,Finnish_FireSafety,Finnish,False,True,"If necessary, fire compartments shall be partitioned in order to restrict the spread of fire and smoke, to provide safe evacuation and to facilitate rescue and extinguishing measures."
b8365796-12c1-47c1-9682-ff6131a75f21,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,"The various enduse categories, such as heating, lighting and cooling, should be submetered in such a way that at least 90 of the annual energy consumption of each fuel can be assigned to an enduse."
bb9ec292-062b-43c3-8590-856dd5f6b890,UK_DocM_V2_AccessAndUseOfBuildings,UK,True,False,"The building primary energy rate and building emission rate calculated using the measured air permeability must not be higher than the target primary energy rate and target emission rate, respectively."
bd1438b0-ce84-4908-8d01-6c0884aa4650,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,False,True,"For roof-lights, U-values should be calculated based on a horizontal position."
c06bb553-d8f1-47f5-ab33-cfdebb6bca52,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,"When a building undergoes a major renovation, the technical, environmental and economic feasibility of installing high-efficiency alternative systems should be considered."
cc72106e-9e7f-47cf-8a95-0173a8305dad,Finnish_Health-Humidity,Finnish,True,False,"In a new building, the crawl space height must be 0.8 metres on average at the minimum."
d3c5b819-2fd9-461f-b0cc-ac1dd14b45dc,Finnish_Health-WaterAndSewerage,Finnish,False,True,"A sewer installed in the ground shall withstand the load imposed by soil, soil corrosion as well as subsidence of soil."
dae0db09-fd4b-4f2c-99c0-cd742b19d17a,Finnish_SafetyOfUse,Finnish,False,True,"A glass structure or other light-permeable structure, along with its mountings, must withstand the load to which it is normally subject, unless the structure is protected by a fixed collision barrier."
df09194e-2fe6-4007-b6c1-1a7383f1baba,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,"Generally, gradients within the approach should be as gentle as possible."
f009a781-0ced-408d-b3d1-6ae7a848012e,Finnish_SafetyOfUse,Finnish,False,True,"The landings in the indoor and outdoor areas of a building must be safe, sufficiently spacious and suitable for their purpose."
f41fb8da-16bd-4404-accb-e32727f3736a,Finnish_SafetyOfUse,Finnish,False,True,"Windows, glass walls and glass doors into which there is a danger of collision must be marked in such a way that they can be easily noticed."
f51da5c6-7614-4719-8150-e22851e4aa12,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,False,True,"The building fabric should be constructed so that thermal bridging, including at the party wall, is reasonably limited."
f7cfdf57-28f3-4d23-90bf-ec2268e14bac,Finnish_SafetyOfUse,Finnish,False,True,"Ramps, steps, thresholds and differences in levels in passageways must be clearly indicated using lighting and surface brightness contrasts or warning signs."
