source_doc,line,sentence,following_context
Approved_Document M_V2_Content.txt,330,"g. any door opening towards a corridor , which is a major access route or an escape route , should be recessed so that, when fully open, it does not project into the corridor space , except where the doors are to minor utility facilities , such as small store rooms and locked duct cupboards;","h. any door from a unisex wheelchair-accessible toilet projects when open into a corridor that is not a major access route or an escape route , provided the corridor is at least 1800mm wide at that po"
Approved_Document_M_vol_1,3524,is permitted within a clear turning space unless,stated otherwise.
Approved_Document_K,472,"Regulations, unless the specific requirement of health and safety regulations are themselves more",onerous.
Approved_Document_J,570,within a smoke control area unless it is used in an,exempt appliance.
Approved_Document_C,4038,requirement if it is built as follows (unless it is,"subject to groundwater pressure, in which case"
Approved_Document_M_vol_1,1465,unless fitted with a remote opening device that is within this height range.,e.  Either:
Approved_Document_B_vol_2,4654,c.  The inner leaf is not penetrated except by a sleeve not,"more than 8080mm, which is restopped."
Approved_Document_P,629,installing a builtin cooker is not notifiable work unless a new cooker circuit is needed,"b.  connecting an electric gate or garage door to an existing isolator switch is not notifiable work,"
Approved_Document_L_Volume_1_Content.txt,213,standards in this approved document unless there is a need to match the external appearance or,character of the extension to that of the host building.
Approved_Document_B_vol_2,2742,"5.32  Generally, lifts should not be used when there is a fire in the building, unless their use forms part",of a management plan for evacuating people and the following conditions are met.
Approved_Document_B_vol_2,4772,"the cavity is not normally accessible by people, unless there are openings in the floor such",that it is possible for materials to accumulate in the cavity (in which case cavity barriers
Approved_Document_J,5749,"provided at the base of a flue unless it is lined, or","constructed of flue blocks, or is a factorymade"
Approved_Document_H,472,another branch pipe or a discharge stack unless,the appliances discharge to a gully.
Approved_Document_B_vol_2,11407,"A fusible link, but not if the doorset is in an opening provided as a means of escape unless it",complies with paragraph C7.
Approved_Document_B_vol_1,1500,"c.  The stair does not connect to a covered car park, unless the car park is open sided (as defined",in Section 11 of Approved Document B Volume 2).
Approved_Document_H,7104,provision applies only to new buildings except,that extensions or conversions should not
Approved_Document M_V2_Content.txt,11,"An extension to a non-domestic building should be treated in the same manner as a new building, as regards its own compliance with Part M. Under Requirement M2 there must be suitable independent access to the extension where reasonably practicable. Under the Limits on Application, Requirement M2 doe","If the owners of a building prefer not to provide independent access to a planned extension, it is open to them either to demonstrate that the existing building and the approach to it already comply w"
Approved_Doc_G,2224,Requirement G3(3) does not apply to a system which heats or,stores water for the purposes only of an industrial process.
Approved_Document_H,7094,"containers should be sited so that, unless it is","completely unavoidable, the containers can be"
Approved_Document_B_vol_2,6018,NOTE: Transposition to a national class (Table B1) does not apply to the classification in this paragraph.,12.16 External walls and specified attachments are defined in regulation 2(6) and these definitions include
Approved_Document_L_Volume_2_Content.txt,6087,"automatic closers and, except where operational","requirements preclude it, be protected by a lobby."
Approved_Document_E,157,"Parts A to D, F to K and N (except for paragraphs",H2 and J7) of Schedule 1 to the Building Regulations
Approved_Document M_V2_Content.txt,613,"a. more than 40m on the same floor , unless a greater distance can be agreed with the building control body on the grounds that the circulation route is unobstructed, e.g. by the installation of doors with hold-open devices;","b. more than a 40m combined horizontal distance where the unisex toilet accommodation is on another floor of the building , but is accessible by passenger lift (if a lifting platform is installed , ve"
Approved_Document_J,5722,chimney and the liner should be left empty unless,this is contrary to the manufacturers instructions.
Approved_Document_F_V1,279,Requirement F1 does not apply to a building or,space within a building:
Approved_Document_H,7292,be secure to prevent access by vermin unless the,waste is to be stored in secure containers with
Approved_Document_B_vol_2,11772,"classifications, therefore products cannot typically assume a European class unless they have been tested accordingly.","2. | Unless pressurisation techniques that comply with BS EN 121016 are used, these doors should also comply with"
Approved_Document_G,3755,connected to a soil discharge stack unless it can,be demonstrated that the soil discharge stack is
Approved_Document_L_Volume_2_Content.txt,5804,"considered part of a display window, except where",either of the following applies.
Approved_Document_R_vol_2,16,"requirement R1 does not apply where requirement RA1 applies, e.g.",when new dwellings are
Approved_Document_B_vol_2,5405,"e.  All materials used in the construction should be class A1 rated, except for the following.","Any surface finish applied to a floor or roof of the car park (or within any building,"
Approved_Document_B_vol_1,2021,"device, except for a single exit door from the building to the top landing of a downward","leading external stair, provided it is the only door onto the landing."
Approved_Document_B_vol_1,1379,Does not apply if all flats on a storey have independent alternative means of escape.,4. | Sheltered housing may require reduced maximum travel distances.
Approved_Document_R_vol_1,979,communications network connection for each new dwelling erected unless the cost exceeds the,cost cap of 2000 per dwelling or the network operator declines to provide a connection.
Approved_Document_B_vol_2,1722,"At each storey except a top storey, stairs should be approached through a protected lobby or",protected corridor.
Approved_Document_G,3578,of the safety device unless its total equivalent,hydraulic resistance exceeds that of a straight
Approved_Document_J,3461,It is unlikely that a dwelling constructed prior to 2008 will have an air permeability of less than 5.0m3/(h.m2) at 50 Pa unless extensive measures have,been taken to improve airtightness.
